id,emplazamiento,tipo_via,cod_portal,cod_via,num_via,referencia_catastral,referencia_municipal,poligono,zona_saturada,comments,actividad,iae,id_iae,id_agrupacion,creation_date,fecha_baja,last_updated,estado,licencias,coordenada_x_utm,coordenada_y_utm
37, MANIFESTACION,CALLE,1016,17980,15,6639202,"76552,13972",1,C,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2017-07-10T09:22:02Z,1,"LicenciaId [expediente=1109796, anyo=2015],LicenciaId [expediente=3059137, anyo=1995],LicenciaId [expediente=3037538, anyo=1995]",676552,4613972
38, MANIFESTACION,CALLE,1017,17980,23,6639205,"76577,13959",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=84872, anyo=2017],LicenciaId [expediente=3134374, anyo=1999],LicenciaId [expediente=170299, anyo=1984]",676577,4613959
39, MANIFESTACION,CALLE,1013,17980,38,6639102,"76600,13899",1,C,TIENE OTRA ENTRADA POR LA CALLE SANTA ISABEL,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2020-12-24T09:15:40Z,1,"LicenciaId [expediente=366585, anyo=2014],LicenciaId [expediente=3566393, anyo=2000],LicenciaId [expediente=563741, anyo=2020],LicenciaId [expediente=3108269, anyo=1994],LicenciaId [expediente=147608, anyo=2008]",676600,4613899
40, OLMO,CALLE,1180,21140,5-7,6439810,"76428,13922",1,C,sin comentarios,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2015-06-03T08:53:58Z,3,"LicenciaId [expediente=1139160, anyo=2014],LicenciaId [expediente=1046690, anyo=2005],LicenciaId [expediente=3075447, anyo=1995]",676428,4613922
41, OLMO,CALLE,870,21140,9,6439809,"76439,13917",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,DESCONOCIDO,2,"LicenciaId [expediente=3135553, anyo=1999],LicenciaId [expediente=3017941, anyo=1989]",676439,4613917
42, OLMO,CALLE,870,21140,9,6439809,"76439,13917",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2016-04-15T14:00:32Z,1,"LicenciaId [expediente=3070080, anyo=2000],LicenciaId [expediente=1570774, anyo=2018],LicenciaId [expediente=249368, anyo=2016],LicenciaId [expediente=475287, anyo=2015],LicenciaId [expediente=1138566, anyo=2014],LicenciaId [expediente=1463250, anyo=2016],LicenciaId [expediente=738634, anyo=2001]",676439,4613917
43, CRUZ,CALLE,1156,29340,13-15,6738107,"76713,13769",1,D,sin comentarios,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2017-01-19T08:15:41Z,1,"LicenciaId [expediente=3202440, anyo=1991],LicenciaId [expediente=87405, anyo=2015],LicenciaId [expediente=3227993, anyo=1997],LicenciaId [expediente=1017275, anyo=2014],LicenciaId [expediente=1373529, anyo=2008],LicenciaId [expediente=1432264, anyo=2007],LicenciaId [expediente=699810, anyo=2018]",676713,4613769
44, OLMO,CALLE,1162,21140,14,6438417,"76442,13901",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2020-09-29T13:38:18Z,1,"LicenciaId [expediente=930500, anyo=2002],LicenciaId [expediente=1066493, anyo=2018],LicenciaId [expediente=3622318, anyo=2000],LicenciaId [expediente=478586, anyo=2003],LicenciaId [expediente=1186734, anyo=2019]",676442,4613901
45, CRUZ,CALLE,1065,29340,21,6738105,"76733,13805",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3105943, anyo=1994],LicenciaId [expediente=3150590, anyo=1994]",676733,4613805
46, PRUDENCIO,CALLE,1181,24340,5,6540106,"76521,14024",1,C,sin comentarios,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,2015-07-10T13:21:20Z,3,"LicenciaId [expediente=929671, anyo=2007],LicenciaId [expediente=60950, anyo=2011],LicenciaId [expediente=3065454, anyo=1995],LicenciaId [expediente=113318, anyo=2012],LicenciaId [expediente=3195520, anyo=1998],LicenciaId [expediente=1139109, anyo=2014],LicenciaId [expediente=915612, anyo=2013],LicenciaId [expediente=345201, anyo=2016]",676521,4614024
47, CRUZ,CALLE,1065,29340,21,6738105,"76733,13805",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:30Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3117610, anyo=1992],LicenciaId [expediente=3078729, anyo=1999]",676733,4613805
48, PRUDENCIO,CALLE,944,24340,7,6540105,"76527,14012",1,C,sin comentarios,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:31Z,abierto,2020-11-04T14:02:23Z,1,"LicenciaId [expediente=790180, anyo=2016],LicenciaId [expediente=1148810, anyo=2011],LicenciaId [expediente=89750, anyo=2011],LicenciaId [expediente=295903, anyo=2015],LicenciaId [expediente=3103699, anyo=1989],LicenciaId [expediente=560062, anyo=2020],LicenciaId [expediente=3155940, anyo=1989]",676527,4614012
49, PRUDENCIO,CALLE,1026,24340,18,6639203,"76561,13966",1,C,TIENE ENTRADA TAMBIEN POR LA C/ MANIFESTACION Nº 17,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:31Z,abierto,DESCONOCIDO,3,"LicenciaId [expediente=3003993, anyo=1997],LicenciaId [expediente=3117777, anyo=1999]",676561,4613966
